lon,lat,mask
-122.48,22.62,0
-121.71,22.77,0
-120.93,22.91,0
-120.15,23.04,0
-119.37,23.18,0
-118.58,23.31,0
-117.80,23.43,0
-117.01,23.55,0
-116.23,23.67,0
-115.44,23.78,0
-114.65,23.89,0
-113.86,23.99,0
-113.06,24.09,0
-112.27,24.18,0
-111.48,24.27,0
-110.68,24.36,0
-109.88,24.44,0
-109.08,24.52,0
-108.28,24.59,0
-107.48,24.66,0
-106.68,24.73,0
-105.88,24.79,0
-105.08,24.85,0
-104.27,24.90,0
-103.47,24.95,0
-102.66,24.99,0
-101.86,25.03,0
-101.05,25.06,0
-100.25,25.09,0
-99.44,25.12,0
-98.63,25.14,0
-97.83,25.16,0
-97.02,25.17,0
-96.21,25.18,0
-95.40,25.19,0
-94.60,25.19,0
-93.79,25.18,0
-92.98,25.17,0
-92.17,25.16,0
-91.37,25.14,0
-90.56,25.12,0
-89.75,25.09,0
-88.95,25.06,0
-88.14,25.03,0
-87.34,24.99,0
-86.53,24.95,0
-85.73,24.90,0
-84.92,24.85,0
-84.12,24.79,0
-83.32,24.73,0
-82.52,24.66,0
-81.72,24.59,0
-80.92,24.52,0
-80.12,24.44,0
-79.32,24.36,0
-78.53,24.27,0
-77.73,24.18,0
-76.94,24.09,0
-76.14,23.99,0
-75.35,23.89,0
-74.56,23.78,0
-73.77,23.67,0
-72.99,23.55,0
-72.20,23.43,0
-71.42,23.31,0
-70.63,23.18,0
-69.85,23.04,0
-69.07,22.91,0
-68.30,22.77,0
-67.52,22.62,0
-66.75,22.47,0
-65.97,22.32,0
-65.20,22.16,0
-64.44,22.00,0
-63.67,21.84,0
-135.59,20.25,0
-134.84,20.46,0
-134.10,20.67,0
-133.35,20.87,0
-132.60,21.07,0
-131.85,21.27,0
-131.09,21.47,0
-130.33,21.66,0
-129.57,21.84,0
-128.81,22.02,0
-128.05,22.20,0
-127.28,22.38,0
-126.51,22.55,0
-125.74,22.71,0
-124.97,22.88,0
-124.20,23.03,0
-123.42,23.19,0
-122.64,23.34,0
-121.86,23.48,0
-121.08,23.62,0
-120.30,23.76,0
-119.51,23.90,0
-118.72,24.03,0
-117.93,24.15,0
-117.14,24.27,0
-116.35,24.39,0
-115.56,24.50,0
-114.76,24.61,0
-113.97,24.71,0
-113.17,24.81,0
-112.37,24.91,0
-111.57,25.00,0
-110.77,25.09,0
-109.97,25.17,0
-109.17,25.25,0
-108.36,25.32,0
-107.56,25.39,0
-106.75,25.46,0
-105.95,25.52,0
-105.14,25.57,0
-104.33,25.63,0
-103.52,25.68,0
-102.71,25.72,0
-101.90,25.76,0
-101.09,25.79,0
-100.28,25.82,0
-99.47,25.85,0
-98.66,25.87,1
-97.84,25.89,1
-97.03,25.90,0
-96.22,25.91,0
-95.41,25.92,0
-94.59,25.92,0
-93.78,25.91,0
-92.97,25.90,0
-92.16,25.89,0
-91.35,25.87,0
-90.53,25.85,0
-89.72,25.82,0
-88.91,25.79,0
-88.10,25.76,0
-87.29,25.72,0
-86.48,25.68,0
-85.67,25.63,0
-84.86,25.57,0
-84.06,25.52,0
-83.25,25.46,0
-82.44,25.39,0
-81.64,25.32,1
-80.83,25.25,1
-80.03,25.17,0
-79.23,25.09,0
-78.43,25.00,0
-77.63,24.91,0
-76.83,24.81,0
-76.03,24.71,0
-75.24,24.61,0
-74.44,24.50,0
-73.65,24.39,0
-72.86,24.27,0
-72.07,24.15,0
-71.28,24.03,0
-70.49,23.90,0
-69.71,23.76,0
-68.92,23.63,0
-68.14,23.48,0
-67.36,23.34,0
-66.58,23.19,0
-65.81,23.03,0
-65.03,22.88,0
-64.26,22.71,0
-63.49,22.55,0
-135.82,20.94,0
-135.07,21.16,0
-134.32,21.37,0
-133.57,21.57,0
-132.81,21.78,0
-132.06,21.97,0
-131.30,22.17,0
-130.54,22.36,0
-129.77,22.55,0
-129.01,22.73,0
-128.24,22.91,0
-127.47,23.09,0
-126.70,23.26,0
-125.92,23.42,0
-125.15,23.59,0
-124.37,23.75,0
-123.59,23.90,0
-122.80,24.05,0
-122.02,24.20,0
-121.23,24.34,0
-120.44,24.48,0
-119.65,24.61,0
-118.86,24.74,0
-118.07,24.87,0
-117.28,24.99,0
-116.48,25.11,0
-115.68,25.22,0
-114.88,25.33,0
-114.08,25.44,0
-113.28,25.54,0
-112.48,25.63,0
-111.67,25.72,0
-110.87,25.81,0
-110.06,25.90,0
-109.25,25.97,0
-108.44,26.05,0
-107.63,26.12,0
-106.82,26.18,0
-106.01,26.25,0
-105.20,26.30,0
-104.39,26.36,0
-103.57,26.40,0
-102.76,26.45,0
-101.94,26.49,0
-101.13,26.52,0
-100.31,26.55,0
-99.49,26.58,1
-98.68,26.60,1
-97.86,26.62,0
-97.04,26.63,0
-96.23,26.64,0
-95.41,26.65,0
-94.59,26.65,0
-93.77,26.64,0
-92.96,26.63,0
-92.14,26.62,0
-91.32,26.60,0
-90.51,26.58,0
-89.69,26.55,0
-88.87,26.52,0
-88.06,26.49,0
-87.24,26.45,0
-86.43,26.40,0
-85.62,26.36,0
-84.80,26.30,0
-83.99,26.25,0
-83.18,26.18,0
-82.37,26.12,0
-81.56,26.05,1
-80.75,25.97,1
-79.94,25.90,0
-79.13,25.81,0
-78.33,25.73,0
-77.52,25.63,0
-76.72,25.54,0
-75.92,25.44,0
-75.12,25.33,0
-74.32,25.22,0
-73.52,25.11,0
-72.73,24.99,0
-71.93,24.87,0
-71.14,24.75,0
-70.35,24.62,0
-69.56,24.48,0
-68.77,24.34,0
-67.98,24.20,0
-67.20,24.05,0
-66.42,23.90,0
-65.63,23.75,0
-64.86,23.59,0
-64.08,23.42,0
-63.31,23.26,0
-136.05,21.64,0
-135.30,21.85,0
-134.54,22.07,0
-133.79,22.27,0
-133.03,22.48,0
-132.27,22.68,0
-131.51,22.87,0
-130.74,23.07,0
-129.97,23.25,0
-129.20,23.44,0
-128.43,23.62,0
-127.66,23.80,0
-126.88,23.97,0
-126.10,24.14,0
-125.32,24.30,0
-124.54,24.46,0
-123.75,24.62,0
-122.97,24.77,0
-122.18,24.92,0
-121.39,25.06,0
-120.60,25.20,0
-119.80,25.33,0
-119.01,25.46,0
-118.21,25.59,0
-117.41,25.71,0
-116.61,25.83,0
-115.81,25.95,0
-115.00,26.05,0
-114.20,26.16,0
-113.39,26.26,0
-112.58,26.36,0
-111.77,26.45,0
-110.96,26.54,0
-110.15,26.62,0
-109.34,26.70,0
-108.52,26.78,0
-107.71,26.85,0
-106.89,26.91,0
-106.08,26.97,0
-105.26,27.03,0
-104.44,27.08,0
-103.62,27.13,0
-102.80,27.18,0
-101.98,27.22,0
-101.16,27.25,0
-100.34,27.28,0
-99.52,27.31,1
-98.70,27.33,1
-97.88,27.35,1
-97.06,27.36,0
-96.23,27.37,0
-95.41,27.38,0
-94.59,27.38,0
-93.77,27.37,0
-92.95,27.36,0
-92.12,27.35,0
-91.30,27.33,0
-90.48,27.31,0
-89.66,27.28,0
-88.84,27.25,0
-88.02,27.22,0
-87.20,27.18,0
-86.38,27.13,0
-85.56,27.09,0
-84.74,27.03,0
-83.92,26.97,0
-83.11,26.91,0
-82.29,26.85,1
-81.48,26.78,1
-80.66,26.70,1
-79.85,26.62,0
-79.04,26.54,0
-78.23,26.45,0
